background,pressed,coins,reaction-time
1,false,0,0.0
2,false,4,0.0
3,true,5,0.0
4,false,4,0.0
5,true,3,0.0
6,true,3,0.0
7,false,4,0.0
8,true,1,0.0
9,false,4,0.0
10,true,4,0.0
11,true,0,952.0
12,false,3,0.0
13,true,1,451.0
14,false,2,0.0
15,false,3,0.0
16,true,0,368.0
17,false,2,0.0
18,true,2,0.0
19,false,3,0.0
20,false,2,0.0
21,false,4,0.0
22,false,4,0.0
23,false,4,0.0
24,false,5,0.0
25,false,4,0.0
1,false,3,0.0
2,true,2,67.0
3,false,4,0.0
4,false,4,0.0
5,false,5,0.0
6,false,4,0.0
7,false,4,0.0
8,false,4,0.0
9,false,4,0.0
10,false,3,0.0
11,true,3,317.0
12,false,0,0.0
