block,condition,background,pressed,coins,reaction-time
3,RAN,1,false,0,0.0
3,RAN,2,false,4,0.0
3,RAN,3,false,6,0.0
3,RAN,4,false,2,0.0
3,RAN,5,false,5,0.0
3,RAN,6,true,3,651.0
3,RAN,7,false,2,0.0
3,RAN,8,false,6,0.0
3,RAN,9,false,3,0.0
3,RAN,10,false,2,0.0
3,RAN,11,false,6,0.0
3,RAN,12,true,1,650.0
3,RAN,13,false,5,0.0
3,RAN,14,false,5,0.0
3,RAN,15,false,2,0.0
3,RAN,16,false,3,0.0
3,RAN,17,false,5,0.0
3,RAN,18,false,3,0.0
3,RAN,19,false,6,0.0
3,RAN,20,true,3,684.0
3,RAN,21,false,3,0.0
3,RAN,22,false,7,0.0
3,RAN,23,false,3,0.0
3,RAN,24,true,4,667.0
3,RAN,25,false,4,0.0
3,RAN,26,true,3,634.0
3,RAN,27,false,6,0.0
3,NPE,1,false,0,0.0
3,NPE,2,false,2,0.0
3,NPE,3,false,3,0.0
3,NPE,4,true,0,601.0
3,NPE,5,false,3,0.0
3,NPE,6,false,4,0.0
3,NPE,7,false,3,0.0
3,NPE,8,true,5,535.0
3,NPE,9,false,2,0.0
3,NPE,10,true,3,401.0
3,NPE,11,false,7,0.0
3,NPE,12,false,1,0.0
3,NPE,13,false,1,0.0
3,NPE,14,false,5,0.0
3,NPE,15,false,3,0.0
3,NPE,16,false,3,0.0
3,NPE,17,false,5,0.0
3,NPE,18,false,2,0.0
3,NPE,19,true,0,367.0
3,NPE,20,false,4,0.0
3,NPE,21,false,2,0.0
3,NPE,22,false,4,0.0
3,NPE,23,false,2,0.0
3,NPE,24,false,4,0.0
3,NPE,25,true,4,417.0
3,NPE,26,false,2,0.0
3,NPE,27,false,1,0.0
3,PE,1,false,1,0.0
3,PE,2,false,3,0.0
3,PE,3,false,4,0.0
3,PE,4,false,2,0.0
3,PE,5,false,1,0.0
3,PE,6,false,3,0.0
3,PE,7,true,0,468.0
3,PE,8,false,3,0.0
3,PE,9,false,2,0.0
3,PE,10,true,0,334.0
3,PE,11,false,5,0.0
3,PE,12,false,1,0.0
3,PE,13,false,1,0.0
3,PE,14,true,2,318.0
3,PE,15,false,4,0.0
3,PE,16,false,5,0.0
3,PE,17,true,1,418.0
3,PE,18,false,3,0.0
3,PE,19,false,4,0.0
3,PE,20,false,3,0.0
3,PE,21,false,1,0.0
3,PE,22,false,1,0.0
3,PE,23,false,2,0.0
3,PE,24,true,0,317.0
3,PE,25,false,7,0.0
3,PE,26,false,3,0.0
3,PE,27,false,3,0.0
